Profile 1             
x       y           
[m]     [m]         
0,040605689  5,1311852e-007            
0,040716938  4,9266041e-007            
0,040828186  4,7016851e-007            
0,040939435  4,4771751e-007            
0,041050683  4,2671943e-007            
0,041161931  4,0782082e-007            
0,04127318  3,9096893e-007            
0,041384428  3,7569012e-007            
0,041495677  3,6148459e-007            
0,041606925  3,4808906e-007            
0,041718174  3,3544125e-007            
0,041829422  3,2344111e-007            
0,041940671  3,1172369e-007            
0,042051919  2,9956025e-007            
0,042163168  2,8596732e-007            
0,042274416  2,701481e-007            
0,042385665  2,5215925e-007            
0,042496913  2,3328492e-007            
0,042608162  2,1567068e-007            
0,04271941  2,0141281e-007            
0,042830658  1,9175425e-007            
0,042941907  1,8685012e-007            
0,043053155  1,8609914e-007            
0,043164404  1,8873672e-007            
0,043275652  1,9430028e-007            
0,043386901  2,0269111e-007            
0,043498149  2,1390442e-007            
0,043609398  2,2784051e-007            
0,043720646  2,4446985e-007            
0,043831895  2,6402957e-007            
0,043943143  2,8668719e-007            
0,044054392  3,1173892e-007            
0,04416564  3,3716023e-007            
0,044276888  3,6014416e-007            
0,044388137  3,7834138e-007            
0,044499385  3,9092024e-007            
0,044610634  3,9878393e-007            
0,044721882  4,0391591e-007            
0,044833131  4,0832799e-007            
0,044944379  4,1319285e-007            
0,045055628  4,1847089e-007            
0,045166876  4,2296625e-007            
0,045278125  4,2466516e-007            
0,045389373  4,2141759e-007            
0,045500622  4,1196427e-007            
0,04561187  3,9679626e-007            
0,045723118  3,7810597e-007            
0,045834367  3,5872986e-007            
0,045945615  3,4084156e-007            
0,046056864  3,252524e-007            
0,046168112  3,1155103e-007            
0,046279361  2,9872287e-007            
0,046390609  2,8576082e-007            
0,046501858  2,7199832e-007            
0,046613106  2,5719288e-007            
0,046724355  2,4154531e-007            
0,046835603  2,2567855e-007            
0,046946852  2,1062416e-007            
0,0470581  1,9753171e-007            
0,047169349  1,8725184e-007            
0,047280597  1,8002784e-007            
0,047391845  1,7553884e-007            
0,047503094  1,733079e-007            
0,047614342  1,7317637e-007            
0,047725591  1,7542244e-007            
0,047836839  1,8039201e-007            
0,047948088  1,8800074e-007            
0,048059336  1,9759121e-007            
0,048170585  2,0822575e-007            
0,048281833  2,1907043e-007            
0,048393082  2,2954817e-007            
0,04850433  2,3927914e-007            
0,048615579  2,480428e-007            
0,048726827  2,558836e-007            
0,048838075  2,632048e-007            
0,048949324  2,7060555e-007            
0,049060572  2,7849642e-007            
0,049171821  2,868491e-007            
0,049283069  2,9531027e-007            
0,049394318  3,0349001e-007            
0,049505566  3,1112684e-007            
0,049616815  3,1810587e-007            
0,049728063  3,2446574e-007            
0,049839312  3,3036439e-007            
0,04995056  3,3579877e-007            
0,050061809  3,4004826e-007            
0,050173057  3,4131491e-007            
0,050284305  3,372765e-007            
0,050395554  3,2655734e-007            
0,050506802  3,0993065e-007            
0,050618051  2,9001295e-007            
0,050729299  2,6971516e-007            
0,050840548  2,509196e-007            
0,050951796  2,3426496e-007            
0,051063045  2,1962686e-007            
0,051174293  2,0659661e-007            
0,051285542  1,9480906e-007            
0,05139679  1,8418519e-007            
0,051508039  1,7494806e-007            
0,051619287  1,6733924e-007            
0,051730536  1,6132105e-007            
0,051841784  1,566002e-007            
0,051953032  1,5293616e-007            
0,052064281  1,5040437e-007            
0,052175529  1,493956e-007            
0,052286778  1,5042606e-007            
0,052398026  1,5391825e-007            
0,052509275  1,5997383e-007            
0,052620523  1,6814475e-007            
0,052731772  1,7740599e-007            
0,05284302  1,8654439e-007            
0,052954269  1,9481614e-007            
0,053065517  2,0241657e-007            
0,053176766  2,1042257e-007            
0,053288014  2,202229e-007            
0,053399262  2,3272808e-007            
0,053510511  2,4776404e-007            
0,053621759  2,6397973e-007            
0,053733008  2,7932144e-007            
0,053844256  2,9178594e-007            
0,053955505  3,0001418e-007            
0,054066753  3,0346772e-007            
0,054178002  3,0230626e-007            
0,05428925  2,9728459e-007            
0,054400499  2,8977317e-007            
0,054511747  2,8163702e-007            
0,054622996  2,7465722e-007            
0,054734244  2,6961021e-007            
0,054845493  2,6570817e-007            
0,054956741  2,609359e-007            
0,055067989  2,5323763e-007            
0,055179238  2,4172162e-007            
0,055290486  2,2705776e-007            
0,055401735  2,1099339e-007            
0,055512983  1,9555511e-007            
0,055624232  1,8243171e-007            
0,05573548  1,726006e-007            
0,055846729  1,6613576e-007            
0,055957977  1,6231965e-007            
0,056069226  1,601349e-007            
0,056180474  1,5883426e-007            
0,056291723  1,5813716e-007            
0,056402971  1,5799738e-007            
0,056514219  1,5836101e-007            
0,056625468  1,5925761e-007            
0,056736716  1,6103156e-007            
0,056847965  1,6426968e-007            
0,056959213  1,6941246e-007            
0,057070462  1,7653478e-007            
0,05718171  1,8553945e-007            
0,057292959  1,9632416e-007            
0,057404207  2,0842567e-007            
0,057515456  2,2044261e-007            
0,057626704  2,3014002e-007            
0,057737953  2,3557853e-007            
0,057849201  2,363752e-007            
0,057960449  2,3384607e-007            
0,058071698  2,299272e-007            
0,058182946  2,2605466e-007            
0,058294195  2,2297466e-007            
0,058405443  2,2113206e-007            
0,058516692  2,2069256e-007            
0,05862794  2,2108448e-007            
0,058739189  2,2088014e-007            
0,058850437  2,1851902e-007            
0,058961686  2,1328975e-007            
0,059072934  2,056392e-007            
0,059184183  1,9665543e-007            
0,059295431  1,8737896e-007            
0,05940668  1,7850919e-007            
0,059517928  1,7046722e-007            
0,059629176  1,6349688e-007            
0,059740425  1,5767482e-007            
0,059851673  1,5291652e-007            
0,059962922  1,4906491e-007            
0,06007417  1,4603966e-007            
0,060185419  1,439421e-007            
0,060296667  1,4300783e-007            
0,060407916  1,4342101e-007            
0,060519164  1,4517914e-007            
0,060630413  1,4818507e-007            
0,060741661  1,5244217e-007            
0,06085291  1,5799077e-007            
0,060964158  1,6451057e-007            
0,061075406  1,7110029e-007            
0,061186655  1,7674253e-007            
0,061297903  1,8112166e-007            
0,061409152  1,8485679e-007            
0,0615204  1,8878482e-007            
0,061631649  1,9302132e-007            
0,061742897  1,9678664e-007            
0,061854146  1,9916917e-007            
0,061965394  2,000486e-007            
0,062076643  2,0025424e-007            
0,062187891  2,0078367e-007            
0,06229914  2,0182708e-007            
0,062410388  2,0253788e-007            
0,062521636  2,0171024e-007            
0,062632885  1,9877204e-007            
0,062744133  1,9417185e-007            
0,062855382  1,8891447e-007            
0,06296663  1,8374791e-007            
0,063077879  1,7869441e-007            
0,063189127  1,7326654e-007            
0,063300376  1,6711706e-007            
0,063411624  1,604994e-007            
0,063522873  1,5412203e-007            
0,063634121  1,4859777e-007            
0,06374537  1,4404641e-007            
0,063856618  1,4016208e-007            
0,063967867  1,3660615e-007            
0,064079115  1,3340002e-007            
0,064190363  1,3104687e-007            
0,064301612  1,3025431e-007            
0,06441286  1,3141486e-007            
0,064524109  1,3430462e-007            
0,064635357  1,3832626e-007            
0,064746606  1,4301972e-007            
0,064857854  1,4824081e-007            
0,064969103  1,5385963e-007            
0,065080351  1,5946227e-007            
0,0651916  1,6450764e-007            
0,065302848  1,6879485e-007            
0,065414097  1,7271206e-007            
0,065525345  1,7692837e-007            
0,065636593  1,8168234e-007            
0,065747842  1,8623523e-007            
0,06585909  1,8908612e-007            
0,065970339  1,8897162e-007            
0,066081587  1,8586102e-007            
0,066192836  1,8103216e-007            
0,066304084  1,7616386e-007            
0,066415333  1,7226398e-007            
0,066526581  1,6924357e-007            
0,06663783  1,6628685e-007            
0,066749078  1,6259938e-007            
0,066860327  1,5794366e-007            
0,066971575  1,5260672e-007            
0,067082823  1,4697822e-007            
0,067194072  1,4126377e-007            
0,06730532  1,3559755e-007            
0,067416569  1,303013e-007            
0,067527817  1,2593128e-007            
0,067639066  1,230847e-007            
0,067750314  1,2218384e-007            
0,067861563  1,2338167e-007            
0,067972811  1,2655826e-007            
0,06808406  1,3131403e-007            
0,068195308  1,369298e-007            
0,068306557  1,423976e-007            
0,068417805  1,4668954e-007            
0,068529054  1,4924557e-007            
0,068640302  1,5034222e-007            
0,06875155  1,5097205e-007            
0,068862799  1,5227469e-007            
0,068974047  1,5496708e-007            
0,069085296  1,5913328e-007            
0,069196544  1,643086e-007            
0,069307793  1,6961625e-007            
0,069419041  1,7393924e-007            
0,06953029  1,7626254e-007            
0,069641538  1,7609098e-007            
0,069752787  1,736175e-007            
0,069864035  1,6952346e-007            
0,069975284  1,6466291e-007            
0,070086532  1,5986253e-007            
0,07019778  1,5577757e-007            
